location,year,month,day,mean_windspeed,wind_direction,mean_tempurature,humidity,rainfall,duration,color
Shek Kong,2019,8,21,3.3,80,28.8,77,11.5,0,Green
Shek Kong,2019,8,22,1.2,180,29.1,77,0,0,Green
Shek Kong,2019,8,23,1.1,290,27.9,91,24.5,0,Green
Shek Kong,2019,8,24,2.6,280,30.2,79,0,0,Green
Shek Kong,2019,8,25,2.2,250,27.3,80,68,0,Green
Shek Kong,2019,8,26,2.4,90,26.2,93,61,545,Red
Shek Kong,2019,8,27,1.7,90,28.5,86,3,0,Green
Shek Kong,2019,8,28,5.7,80,29.6,79,0,0,Green
Shek Kong,2019,8,29,11.3,80,29.4,79,3,0,Green
Shek Kong,2019,8,30,1.3,90,27.2,87,21.5,0,Green
Shek Kong,2019,8,31,4.7,80,27,89,27,0,Green
Shek Kong,2019,9,1,6.6,80,28,83,22.5,0,Green
Shek Kong,2019,9,2,11.2,80,26.8,90,87,135,Amber
Shek Kong,2019,9,3,8.7,80,28.1,81,5,0,Green
Shek Kong,2019,9,4,10.5,80,27.2,87,19,0,Green
Shek Kong,2019,9,5,9.3,80,27.8,84,23.5,0,Green
Shek Kong,2019,9,6,4.2,90,28.8,78,0,130,Amber
Shek Kong,2019,9,7,1.3,60,29,82,6,0,Green
Shek Kong,2019,9,8,1.2,180,29.3,82,2.5,0,Green
Shek Kong,2019,9,9,0.8,180,29,82,0,0,Green
Shek Kong,2019,9,10,4.6,80,29.2,76,0,0,Green
Shek Kong,2019,9,11,2.2,80,29.4,77,0,0,Green
Shek Kong,2019,9,12,2,90,29.5,76,0,0,Green
Shek Kong,2019,9,13,1.6,200,29.5,78,0,0,Green
Shek Kong,2019,9,14,1.4,250,28.9,80,0,645,Amber
Shek Kong,2019,9,15,2.5,90,28.2,80,0,0,Green
Shek Kong,2019,9,16,2.8,90,28.5,81,3,0,Green
Shek Kong,2019,9,17,1.5,30,27.2,89,15,0,Green
Shek Kong,2019,9,18,1.9,50,28.1,83,1.5,0,Green
Shek Kong,2019,9,19,3.9,50,28.3,70,0,0,Green
Shek Kong,2019,9,20,4.5,50,27.4,61,0,0,Green
Shek Kong,2019,9,21,4.7,320,***,***,0,0,Green
Shek Kong,2019,9,22,6.5,50,***,***,0,0,Green
Shek Kong,2019,9,23,4.1,90,***,67,0,0,Green
Shek Kong,2019,9,24,4,90,***,72,0,0,Green
Shek Kong,2019,9,25,1.7,300,***,75,0,0,Green
Shek Kong,2019,9,26,1.7,60,***,75,0,0,Green
Shek Kong,2019,9,27,1.6,60,***,76,0,0,Green
Shek Kong,2019,9,28,2.4,210,***,76,0,0,Green
Shek Kong,2019,9,29,1.6,300,***,74,0,0,Green
Shek Kong,2019,9,30,2.5,300,30.6,67,0,0,Green
Shek Kong,2019,10,1,2.1,270,28.5,65,0,0,Green
Shek Kong,2019,10,2,2.6,200,28.2,72,0,0,Green
Shek Kong,2019,10,3,2.4,200,27.9,75,0,0,Green
Shek Kong,2019,10,4,1.8,210,27.5,75,0,0,Green
Shek Kong,2019,10,5,1.7,200,27.6,73,0,0,Green
Shek Kong,2019,10,6,11.9,80,26.3,78,24.5,0,Green
Shek Kong,2019,10,7,9.1,90,26.2,84,23.5,0,Green
Shek Kong,2019,10,8,6.3,100,27.6,77,0,0,Green
Shek Kong,2019,10,9,8.3,90,28,72,0,0,Green
Shek Kong,2019,10,10,2.9,90,26.8,81,1.5,0,Green
Shek Kong,2019,10,11,1.5,290,27.4,79,0,0,Green
Shek Kong,2019,10,12,0.7,300,27,86,13,0,Green
Shek Kong,2019,10,13,3,80,26.3,85,6.5,0,Green
Shek Kong,2019,10,14,2.5,50,25.5,86,3.5,0,Green
Shek Kong,2019,10,15,7.9,90,25.8,72,4.5,0,Green
Shek Kong,2019,10,16,4,90,25.4,65,0,0,Green
Shek Kong,2019,10,17,3.5,50,25,71,0,0,Green
Shek Kong,2019,10,18,2.4,60,25,71,3.5,0,Green
Shek Kong,2019,10,19,2.5,60,25,71,0,0,Green
Shek Kong,2019,10,20,3.2,100,24.9,75,0,0,Green
Shek Kong,2019,10,21,1.9,80,24,75,0,0,Green
Shek Kong,2019,10,22,5.2,90,23.2,73,0,0,Green
Shek Kong,2019,10,23,7,90,24.4,72,0,0,Green
Shek Kong,2019,10,24,5.9,90,26.1,69,0,0,Green
Shek Kong,2019,10,25,8.4,90,25.6,71,0,0,Green
Shek Kong,2019,10,26,8.9,90,25.5,73,0,0,Green
Shek Kong,2019,10,27,3.8,60,25.1,74,0,0,Green
Shek Kong,2019,10,28,4.6,300,24,77,0,0,Green
Shek Kong,2019,10,29,7.3,60,21.5,67,0,0,Green
Shek Kong,2019,10,30,3.9,50,22.4,61,0,0,Green
Shek Kong,2019,10,31,3.7,80,23.6,66,0,0,Green
Shek Kong,2019,11,1,6.5,90,25.8,71,0,0,Green
Shek Kong,2019,11,2,4.6,100,25.2,74,0,0,Green
Shek Kong,2019,11,3,3.3,40,25.4,68,0,0,Green
Shek Kong,2019,11,4,6.4,40,24.3,49,0,0,Green
Shek Kong,2019,11,5,3,100,22,58,0,0,Green
Shek Kong,2019,11,6,2,50,22.4,71,0,0,Green
Shek Kong,2019,11,7,6.1,60,22.2,59,0,0,Green
Shek Kong,2019,11,8,5.7,30,21.6,54,0,0,Green
Shek Kong,2019,11,9,5.8,90,20.7,65,0,0,Green
Shek Kong,2019,11,10,1.8,100,20.9,74,0,0,Green
Shek Kong,2019,11,11,4.7,90,21.4,71,0,0,Green
Shek Kong,2019,11,12,9.8,80,23.2,75,0,0,Green
Shek Kong,2019,11,13,4,80,23.6,75,0,0,Green
Shek Kong,2019,11,14,5.6,60,22.2,62,0,0,Green
Shek Kong,2019,11,15,4.4,100,21.9,71,0,0,Green
Shek Kong,2019,11,16,2.9,90,21.9,74,0,0,Green
Shek Kong,2019,11,17,1.3,100,22,81,0,0,Green
Shek Kong,2019,11,18,6.3,50,22.8,70,0,0,Green
Shek Kong,2019,11,19,8.2,70,18.9,63,0,0,Green
Shek Kong,2019,11,20,5.5,70,19.8,64,0,0,Green
Shek Kong,2019,11,21,1.5,60,19.5,71,0,0,Green
Shek Kong,2019,11,22,0.8,250,20.1,70,0,0,Green
Shek Kong,2019,11,23,2,60,21.5,80,0,0,Green
Shek Kong,2019,11,24,2.6,90,22.1,77,0,0,Green
Shek Kong,2019,11,25,9.5,90,23.8,71,0,0,Green
Shek Kong,2019,11,26,8.8,80,21.7,71,0,0,Green
Shek Kong,2019,11,27,6.8,90,22.8,73,0,0,Green
Shek Kong,2019,11,28,10.5,50,19.1,58,0,0,Green
Shek Kong,2019,11,29,8.1,50,17.8,63,0,0,Green
Shek Kong,2019,11,30,5.6,80,19.2,68,0,0,Green
Shek Kong,2019,12,1,4,60,19.9,70,0,0,Green
Shek Kong,2019,12,2,11.7,60,16.4,51,0,0,Green
Shek Kong,2019,12,3,7.3,60,14.3,43,0,0,Green
Shek Kong,2019,12,4,7.9,30,16.2,37,0,0,Green
Shek Kong,2019,12,5,***,***,15.2,42,0,0,Green
Shek Kong,2019,12,6,***,***,16.3,30,0,0,Green
Shek Kong,2019,12,7,***,***,14.5,38,0,0,Green
Shek Kong,2019,12,8,***,***,12.9,50,0,0,Green
Shek Kong,2019,12,9,***,***,15.1,58,0,0,Green
Shek Kong,2019,12,10,***,***,15.9,70,0,0,Green
Shek Kong,2019,12,11,***,***,16.6,65,0,0,Green
Shek Kong,2019,12,12,***,***,18.7,62,0,0,Green
Shek Kong,2019,12,13,***,***,19.6,68,0,0,Green
Shek Kong,2019,12,14,***,***,18.8,72,0,0,Green
Shek Kong,2019,12,15,***,***,20.1,76,0,0,Green
Shek Kong,2019,12,16,***,***,22.3,68,0,0,Green
Shek Kong,2019,12,17,***,***,23.3,73,0,0,Green
Shek Kong,2019,12,18,***,***,22.3,80,0,0,Green
Shek Kong,2019,12,19,***,***,19.5,79,0,0,Green
Shek Kong,2019,12,20,***,***,18.6,69,0,0,Green
Shek Kong,2019,12,21,***,***,18.9,78,0,0,Green
Shek Kong,2019,12,22,***,***,20.1,82,0,0,Green
Shek Kong,2019,12,23,***,***,19.7,82,0,0,Green
Shek Kong,2019,12,24,***,***,21,75,0,0,Green
Shek Kong,2019,12,25,***,***,19.9,79,0,0,Green
Shek Kong,2019,12,26,***,***,20.3,71,0,0,Green
Shek Kong,2019,12,27,***,***,16.8,60,0,0,Green
Shek Kong,2019,12,28,***,***,17.9,62,0,0,Green
Shek Kong,2019,12,29,***,***,18.2,87,5.5,0,Green
Shek Kong,2019,12,30,***,***,20.8,88,0.5,0,Green
Shek Kong,2019,12,31,***,***,19.5,84,0,0,Green
Shek Kong,2020,1,1,***,***,17.8,78,0,0,Green
Shek Kong,2020,1,2,***,***,17.3,80,0,0,Green
Shek Kong,2020,1,3,***,***,18.1,82,0,0,Green
Shek Kong,2020,1,4,***,***,18.8,79,0,0,Green
Shek Kong,2020,1,5,***,***,20.6,73,0,0,Green
Shek Kong,2020,1,6,***,***,22.2,71,0,0,Green
Shek Kong,2020,1,7,***,***,22.3,80,0,0,Green
Shek Kong,2020,1,8,***,***,21.5,68,0,0,Green
Shek Kong,2020,1,9,***,***,19.8,69,0,0,Green
Shek Kong,2020,1,10,***,***,20.3,77,0,0,Green
Shek Kong,2020,1,11,***,***,19.5,81,0,0,Green
Shek Kong,2020,1,12,***,***,17,57,0,0,Green
Shek Kong,2020,1,13,***,***,18,70,0,0,Green
Shek Kong,2020,1,14,***,***,18.9,69,0,0,Green
Shek Kong,2020,1,15,***,***,20,75,0,0,Green
Shek Kong,2020,1,16,***,***,20.5,79,0,0,Green
Shek Kong,2020,1,17,***,***,17.2,61,0,0,Green
Shek Kong,2020,1,18,***,***,17,68,0,0,Green
Shek Kong,2020,1,19,***,***,16.8,72,0,0,Green
Shek Kong,2020,1,20,***,***,17,71,0,0,Green
Shek Kong,2020,1,21,***,***,18,80,0,0,Green
Shek Kong,2020,1,22,***,***,20.9,80,0,0,Green
Shek Kong,2020,1,23,***,***,21.8,83,0,0,Green
Shek Kong,2020,1,24,***,***,21,88,0,0,Green
Shek Kong,2020,1,25,***,***,20.2,85,5.5,0,Green
