_id,location,year,month,day,mean_windspeed,wind_direction,mean_tempurature,humidity,rainfall,duration,color
6631e2b4aa38843775c1533a,Sha Tin,2019,3,28,6.9,210,24.5,81,3.5,130,Amber
6631e2b4aa38843775c1533b,Sha Tin,2019,3,29,9.6,220,24.5,84,3.5,0,Green
6631e2b4aa38843775c15340,Sha Tin,2019,4,3,7.7,110,22.3,81,0,0,Green
6631e2b4aa38843775c15345,Sha Tin,2019,4,8,9.9,220,26.7,78,0,0,Green
6631e2b4aa38843775c15347,Sha Tin,2019,4,10,10.8,220,27,80,0,0,Green
6631e2b4aa38843775c1534d,Sha Tin,2019,4,16,6,10,20.9,89,16,0,Green
6631e2b4aa38843775c1534e,Sha Tin,2019,4,17,3.8,180,23,85,0,0,Green
6631e2b4aa38843775c15352,Sha Tin,2019,4,21,7.6,200,26.3,85,0,0,Green
6631e2b4aa38843775c15353,Sha Tin,2019,4,22,8,220,27.6,81,0,0,Green
6631e2b4aa38843775c15359,Sha Tin,2019,4,28,7.7,80,24.5,85,4,0,Green
6631e2b4aa38843775c1535f,Sha Tin,2019,5,4,7,90,22.4,73,12,0,Green
6631e2b4aa38843775c15361,Sha Tin,2019,5,6,7.4,90,21.9,88,10.5,0,Green
6631e2b4aa38843775c15365,Sha Tin,2019,5,10,3.8,50,24.5,82,0,0,Green
6631e2b4aa38843775c15368,Sha Tin,2019,5,13,6.8,70,25,87,0,0,Green
6631e2b4aa38843775c1536b,Sha Tin,2019,5,16,16.5,220,29.2,83,1,0,Green
6631e2b4aa38843775c1536c,Sha Tin,2019,5,17,17,220,29.4,81,0.5,0,Green
6631e2b4aa38843775c15370,Sha Tin,2019,5,21,10.3,90,24.8,77,6,0,Green
6631e2b4aa38843775c15374,Sha Tin,2019,5,25,7,130,26.9,85,3.5,0,Green
6631e2b4aa38843775c15382,Sha Tin,2019,6,8,13.3,220,30.1,75,0,0,Green
6631e2b4aa38843775c15386,Sha Tin,2019,6,12,5.8,90,***,***,***,0,Green
6631e2b4aa38843775c1539e,Sha Tin,2019,7,6,15.9,220,29.7,79,0,0,Green
6631e2b4aa38843775c15366,Sha Tin,2019,5,11,5.8,70,25.6,73,0,0,Green
6631e2b4aa38843775c15367,Sha Tin,2019,5,12,8.5,120,25.5,74,0,0,Green
6631e2b4aa38843775c15369,Sha Tin,2019,5,14,5.8,50,28,79,12.5,115,Amber
6631e2b4aa38843775c1536d,Sha Tin,2019,5,18,15.4,220,30.1,78,41.5,90,Amber
6631e2b4aa38843775c15375,Sha Tin,2019,5,26,4.6,180,26.6,88,0,0,Green
6631e2b4aa38843775c15376,Sha Tin,2019,5,27,3.6,20,26.3,92,0,0,Green
6631e2b4aa38843775c15378,Sha Tin,2019,5,29,6.7,90,24.5,89,1,0,Green
6631e2b4aa38843775c1537d,Sha Tin,2019,6,3,11.1,220,27.4,85,29,0,Green
6631e2b4aa38843775c1537e,Sha Tin,2019,6,4,6.6,230,28.1,86,9,95,Amber
6631e2b4aa38843775c1537f,Sha Tin,2019,6,5,5.8,180,29,80,0,195,Amber
6631e2b4aa38843775c15383,Sha Tin,2019,6,9,18,220,30.2,78,0,90,Amber
6631e2b4aa38843775c15384,Sha Tin,2019,6,10,14.3,220,28.8,83,9.5,0,Green
6631e2b4aa38843775c15389,Sha Tin,2019,6,15,7.9,110,27.6,74,0,0,Green
6631e2b4aa38843775c1538e,Sha Tin,2019,6,20,10.1,220,29.8,79,0,0,Green
6631e2b4aa38843775c15391,Sha Tin,2019,6,23,14.4,220,30.3,77,0.5,75,Amber
6631e2b4aa38843775c15399,Sha Tin,2019,7,1,7.8,20,30,76,0,0,Green
6631e2b4aa38843775c1539b,Sha Tin,2019,7,3,4.3,360,26.6,91,84.5,0,Green
6631e2b4aa38843775c1539c,Sha Tin,2019,7,4,7.6,220,28.8,83,22.5,60,Amber
6631e2b4aa38843775c1539d,Sha Tin,2019,7,5,12.5,220,29.4,80,6.5,0,Green
6631e2b4aa38843775c1539f,Sha Tin,2019,7,7,12.6,220,29.9,78,1,0,Green
6631e2b4aa38843775c153a1,Sha Tin,2019,7,9,17.3,220,29.8,79,13.5,0,Green
6631e2b4aa38843775c1536e,Sha Tin,2019,5,19,14.9,220,30.6,76,0,0,Green
6631e2b4aa38843775c15371,Sha Tin,2019,5,22,6.3,80,25.7,79,0.5,0,Green
